309,Montmorillon,6155,sous-préfecture,86
310,Bellac,4117,sous-préfecture,87
311,Rochechouart,3798,sous-préfecture,87
312,Neufchâteau,6577,sous-préfecture,88
313,Saint-Dié-des-Vosges,20315,sous-préfecture,88
314,Avallon,7025,sous-préfecture,89
315,Sens,25507,sous-préfecture,89
316,Étampes,24503,sous-préfecture,91
317,Palaiseau,32461,sous-préfecture,91
318,Antony,61603,sous-préfecture,92
319,Boulogne-Billancourt,116927,sous-préfecture,92
320,Le Raincy,14400,sous-préfecture,93
321,Saint-Denis,110733,sous-préfecture,93
322,L’Haÿ-les-Roses,30772,sous-préfecture,94
323,Nogent-sur-Marne,31292,sous-préfecture,94
324,Argenteuil,108865,sous-préfecture,95
325,Pontoise,29766,sous-préfecture,95
326,Sarcelles,56828,sous-préfecture,95
327,Pointe-à-Pitre,16261,sous-préfecture,971
328,La Trinité,12973,sous-préfecture,972
329,Le Marin,8883,sous-préfecture,972
330,Saint-Pierre,4229,sous-préfecture,972
331,Saint-Laurent-du-Maroni,44169,sous-préfecture,973
332,Saint-Benoît,37738,sous-préfecture,974
333,Saint-Paul,104634,sous-préfecture,974
334,Saint-Pierre,81583,sous-préfecture,974
337,Grosville,234,préfecture,GRD
339,Castel-le-haut,2,préfecture,95
340,Normanville,1543,préfecture,1
341,aa,1,préfecture,1
342,aa,1,préfecture,1
